EOM Date,Fund 1,Fund 2,Market Beta,Value,Size,High-Yield Spread,Term Spread,Momentum,Bid-Ask Spread
6-Apr,2.66%,0.53%,2.87%,1.30%,-0.37%,0.80%,-2.27%,1.30%,0.23%
6-May,0.24%,-4.18%,-3.72%,0.75%,-1.19%,-0.11%,-0.14%,-4.93%,0.74%
6-Jun,-0.92%,-4.81%,-0.17%,0.10%,-1.49%,-0.58%,0.60%,-0.72%,-4.01%
6-Jul,1.34%,0.50%,0.55%,2.78%,-3.11%,-0.30%,1.17%,-0.28%,-4.46%
6-Aug,0.28%,0.53%,2.38%,-0.29%,0.24%,0.06%,2.05%,-1.60%,2.63%
6-Sep,-0.06%,2.55%,1.07%,0.53%,-0.34%,0.46%,1.10%,0.57%,-0.29%
6-Oct,4.55%,2.23%,3.61%,0.18%,0.97%,0.74%,0.35%,1.88%,2.94%
6-Nov,3.05%,3.59%,2.27%,-0.25%,1.96%,0.49%,1.48%,1.01%,5.48%
6-Dec,3.16%,-1.01%,1.95%,1.39%,-0.54%,0.83%,-3.24%,2.31%,0.31%
7-Jan,0.33%,2.57%,1.12%,-0.83%,1.26%,2.19%,-0.49%,1.59%,2.28%
7-Feb,-0.79%,-0.32%,-0.65%,0.13%,2.02%,-0.49%,3.09%,-1.12%,-6.02%
7-Mar,2.55%,0.66%,1.59%,-0.33%,0.68%,0.46%,-1.62%,-1.90%,2.25%
7-Apr,2.36%,3.58%,4.21%,-0.07%,-0.61%,0.74%,0.24%,0.18%,-8.17%
7-May,2.42%,2.74%,2.47%,-0.33%,0.83%,1.60%,-1.80%,2.83%,-0.54%
7-Jun,1.27%,1.80%,-0.90%,-0.83%,-0.49%,-1.60%,-1.29%,0.23%,0.35%
7-Jul,1.56%,0.05%,-2.28%,-2.02%,-0.82%,-3.53%,1.84%,-1.83%,1.12%
7-Aug,0.43%,0.02%,-0.27%,-0.78%,-1.68%,-0.04%,0.85%,-2.64%,81.24%
7-Sep,3.97%,3.52%,4.61%,-1.50%,-2.55%,1.64%,-0.45%,0.59%,-54.72%
7-Oct,4.13%,5.84%,2.99%,-1.81%,0.46%,-0.14%,1.05%,1.50%,-28.26%
7-Nov,-1.53%,-1.27%,-4.24%,-1.96%,-3.10%,-3.37%,2.89%,-3.95%,18.87%
7-Dec,2.93%,-1.11%,-1.37%,-1.19%,-0.33%,-0.02%,-0.65%,0.08%,-2.16%
8-Jan,-2.15%,-2.47%,-7.71%,1.77%,-0.15%,-3.18%,0.89%,2.39%,6.42%
8-Feb,3.52%,1.87%,-0.74%,-3.20%,1.11%,-1.71%,-0.54%,0.62%,-11.47%
8-Mar,-2.24%,1.57%,-1.25%,0.37%,-0.02%,0.23%,0.60%,1.13%,10.62%
8-Apr,7.63%,-0.42%,4.98%,-0.67%,-1.35%,4.32%,-1.04%,-2.05%,0.43%
8-May,3.93%,2.59%,1.11%,-3.91%,1.76%,1.53%,-1.72%,-1.42%,-8.77%
8-Jun,-4.24%,-4.69%,-8.10%,-3.16%,-0.45%,-2.75%,1.45%,-2.42%,-2.06%
8-Jul,-5.40%,-7.96%,-2.53%,1.29%,0.43%,-0.97%,-0.47%,-0.71%,-1.56%
8-Aug,0.18%,0.23%,-1.60%,0.58%,1.55%,-0.30%,2.04%,0.22%,-0.47%
8-Sep,-11.28%,-15.57%,-12.08%,3.60%,-1.91%,-1.59%,-0.37%,3.31%,5.60%
8-Oct,-16.25%,1.48%,-19.05%,0.80%,-4.21%,-13.49%,-4.15%,7.72%,93.92%
8-Nov,-5.07%,-2.00%,-6.72%,2.09%,-1.53%,-14.92%,11.22%,2.39%,46.91%
8-Dec,4.61%,-1.63%,3.06%,-0.82%,3.35%,1.46%,8.64%,0.42%,12.69%
9-Jan,-7.80%,1.74%,-8.85%,-5.02%,1.26%,8.08%,-8.45%,0.56%,-32.87%
9-Feb,-9.23%,-1.52%,-10.49%,-4.13%,0.13%,-1.75%,-0.85%,0.72%,-8.85%
